experiment_id,page_size_P,alpha_max,seed,num_inserted_records,num_successful_searches,num_unsuccessful_searches,initial_buckets,final_primary_buckets,final_overflow_pages,final_total_pages,final_total_records,final_load_factor_global,real_space_utilization,overflow_page_percentage,num_splits,final_level,final_split_pointer,insert_total_page_accesses,insert_avg_page_accesses,successful_search_total_page_accesses,successful_search_avg_page_accesses,unsuccessful_search_total_page_accesses,unsuccessful_search_avg_page_accesses,insert_runtime_ms,successful_search_runtime_ms,unsuccessful_search_runtime_ms,total_runtime_ms
p10_a080_s42,10,0.8,42,100000,5000,5000,4,5449,7062,12511,100000,0.799297,0.799297,56.446327,5445,10,1353,740979,7.40979,8153,1.6306,12527,2.5054,2133.331928,1.347872,1.877348,2215.518236
p10_a080_s43,10,0.8,43,100000,5000,5000,4,5467,7035,12502,100000,0.799872,0.799872,56.270997,5463,10,1371,742880,7.4288,8041,1.6082,12385,2.477,2112.652907,1.34936,1.954692,2180.190438
p10_a080_s44,10,0.8,44,100000,5000,5000,4,5441,7059,12500,100000,0.8,0.8,56.472,5437,10,1345,740840,7.4084,8058,1.6116,12403,2.4806,2153.175815,1.302976,2.021285,2233.962592
p10_a080_s45,10,0.8,45,100000,5000,5000,4,5425,7076,12501,100000,0.799936,0.799936,56.603472,5421,10,1329,740135,7.40135,8072,1.6144,12542,2.5084,2162.337629,1.592228,2.205002,2233.014573
p10_a080_s46,10,0.8,46,100000,5000,5000,4,5460,7052,12512,100000,0.799233,0.799233,56.361893,5456,10,1364,736854,7.36854,7925,1.585,12458,2.4916,2148.984719,1.132976,1.885933,2225.438942
p10_a090_s42,10,0.9,42,100000,5000,5000,4,2466,8648,11114,100000,0.899766,0.899766,77.811769,2462,9,418,1209822,12.09822,13796,2.7592,24188,4.8376,1108.912138,2.302856,4.062843,1197.459475
p10_a090_s43,10,0.9,43,100000,5000,5000,4,2456,8656,11112,100000,0.899928,0.899928,77.897768,2452,9,408,1212088,12.12088,13831,2.7662,24188,4.8376,1078.129949,2.705389,4.367937,1190.836568
p10_a090_s44,10,0.9,44,100000,5000,5000,4,2455,8660,11115,100000,0.899685,0.899685,77.912731,2451,9,407,1209491,12.09491,13946,2.7892,24240,4.848,1073.943657,2.362299,4.106008,1146.513724
p10_a090_s45,10,0.9,45,100000,5000,5000,4,2450,8662,11112,100000,0.899928,0.899928,77.951764,2446,9,402,1213066,12.13066,13855,2.771,24342,4.8684,1112.405236,2.501185,4.191818,1181.95664
p10_a090_s46,10,0.9,46,100000,5000,5000,4,2428,8687,11115,100000,0.899685,0.899685,78.155646,2424,9,380,1206066,12.06066,13843,2.7686,24384,4.8768,1173.594569,2.403881,4.104114,1242.518378
p10_a095_s42,10,0.95,42,100000,5000,5000,4,1157,9370,10527,100000,0.949938,0.949938,89.009214,1153,8,133,2114015,21.14015,25805,5.161,47869,9.5738,635.917673,4.312778,7.579096,746.463828
p10_a095_s43,10,0.95,43,100000,5000,5000,4,1224,9304,10528,100000,0.949848,0.949848,88.37386,1220,8,200,2120506,21.20506,24646,4.9292,45955,9.191,653.085153,4.139248,7.276061,731.387413
